,id,uri,brand,color,country,width,height
0,08e62ca4e4f802031027c0ba2e3c240d,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/39/39c3dd60.jpg,Thirty Five Kent,Blue,CA,1650,1926
1,b361c5e810ae5f1ad24159eeb2a154cb,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/04/04e7dc58.jpg,Teen Mix By Catwalk,Pink,IN,2500,2500
2,074566cf0b2676c9ab2f454bdd291403,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/1d/1d479590.jpg,,Grey,DE,1609,2560
3,490631fab0351c43c1b813d144c96763,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/55/55eb8ee5.jpg,Eono,Silver,GB,1000,1000
4,55fe1c1f3c13998ab10c19a452395c8a,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/af/afb39f69.jpg,find.,Brown,CA,1522,804
5,fb044e4752426ff46b0631de30858f0b,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/33/33bb933c.jpg,Movian,Brown,GB,1790,1965
6,bc4a5caec5ae9f6b48be68c5caa96774,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/ec/ecda41f9.jpg,206 Collective,Black,AE,2012,757
7,40e728e724c9d043f397a7508d18c038,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/32/3225aad4.jpg,find.,White,US,2149,1089
8,bbf5ad40ccce1a27ad517419c10d0e43,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/4a/4a988902.jpg,Bourge,Red,IN,2000,2000
9,e9690f170a3d9a5881d3af23aafc2893,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/0e/0e0a67d9.jpg,Rivet,Brown,US,2560,2560
10,54e8e3e826cc116ec86389631773ea0e,https://amazon-berkley-objects-dataset-docarray.s3.us-east-1.amazonaws.com/images/small/c1/c15a4236.jpg,The Fix,Black,CA,1809,1602
